Video ID,视频标题,发布时间,视频链接,缩略图,播放量,点赞数,评论数,视频时长
ESvQoln4HRc,🌐如何选择VPS？手机搭建节点保姆级教程：从服务器选购到AWS免费方案全公开丨VPS推荐丨免费VPS丨节点搭建丨科学上网,2026-05-01T05:47:51Z,https://www.youtube.com/watch?v=ESvQoln4HRc,https://i.ytimg.com/vi/ESvQoln4HRc/maxresdefault.jpg,4574,45,3,PT1M1S
8fsZihfmQpg,🌐如何选择VPS？手机搭建节点保姆级教程：从服务器选购到AWS免费方案全公开丨VPS推荐丨免费VPS丨节点搭建丨科学上网,2026-05-01T05:44:13Z,https://www.youtube.com/watch?v=8fsZihfmQpg,https://i.ytimg.com/vi/8fsZihfmQpg/maxresdefault.jpg,3812,57,23,PT14M57S
WgVnYWeSEYA,🌍【2026】最新VPN搭建教程：小白也能学会的云服务器自建梯子指南丨独享节点+全球住宅IP,2026-04-23T17:18:47Z,https://www.youtube.com/watch?v=WgVnYWeSEYA,https://i.ytimg.com/vi/WgVnYWeSEYA/maxresdefault.jpg,79178,822,73,PT59S
15nfkz7M4Hk,🌍【2026】最新VPN搭建教程：小白也能学会的云服务器自建梯子指南丨独享节点+全球住宅IP,2026-04-23T16:56:20Z,https://www.youtube.com/watch?v=15nfkz7M4Hk,https://i.ytimg.com/vi/15nfkz7M4Hk/maxresdefault.jpg,31949,516,197,PT12M57S
V25boqOOmNc,🎁【2026】最新Telegram 新手教程丨电报中文设置丨隐私设置丨资源搜索丨解锁18+丨加密聊天丨Telegram汉化,2026-04-23T07:53:07Z,https://www.youtube.com/watch?v=V25boqOOmNc,https://i.ytimg.com/vi/V25boqOOmNc/maxresdefault.jpg,1134,18,14,PT11M48S
aWQKtbFUqpI,🎁【2026】最新Telegram 新手教程丨电报中文设置丨隐私设置丨资源搜索丨解锁18+丨加密聊天丨Telegram汉化,2026-04-17T08:51:34Z,https://www.youtube.com/watch?v=aWQKtbFUqpI,https://i.ytimg.com/vi/aWQKtbFUqpI/maxresdefault.jpg,862,6,2,PT1M
1fepTxAB9lU,💳【2026最新】小白的第一张国际虚拟卡！Bybit U卡申请+币安入金，直接绑微信/支付宝消费！丨Bybit卡丨BybitCard丨币安注册,2026-04-12T06:57:46Z,https://www.youtube.com/watch?v=1fepTxAB9lU,https://i.ytimg.com/vi/1fepTxAB9lU/maxresdefault.jpg,27282,221,19,PT59S
BEubNfTBRtY,💳【2026最新】小白的第一张国际虚拟卡！Bybit U卡申请+币安入金，直接绑微信/支付宝消费！丨Bybit卡丨BybitCard丨币安注册,2026-04-12T06:57:12Z,https://www.youtube.com/watch?v=BEubNfTBRtY,https://i.ytimg.com/vi/BEubNfTBRtY/maxresdefault.jpg,3045,63,96,PT9M21S
_1I4dTzm3lU,OpenClaw完全指南：Ollama本地部署+飞书微信企业微信全接入+ClaudeOpus低价使用秘籍,2026-04-03T15:35:33Z,https://www.youtube.com/watch?v=_1I4dTzm3lU,https://i.ytimg.com/vi/_1I4dTzm3lU/maxresdefault.jpg,1173,9,2,PT1M
9zUwsST0pBs,🦐OpenClaw完全指南：Ollama本地部署+飞书微信企业微信全接入+ClaudeOpus低价使用秘籍,2026-04-03T15:28:35Z,https://www.youtube.com/watch?v=9zUwsST0pBs,https://i.ytimg.com/vi/9zUwsST0pBs/maxresdefault.jpg,509,11,3,PT15M42S
wifGTOplKGs,🌐 V2RayN 基础使用与住宅 IP 链式代理配置教程丨网络代理丨5 元/月的静态住宅 IP 推荐,2026-03-31T10:01:06Z,https://www.youtube.com/watch?v=wifGTOplKGs,https://i.ytimg.com/vi/wifGTOplKGs/maxresdefault.jpg,2544,45,24,PT7M52S
WGsDiPjS6X4,🌐 V2RayN 基础使用与住宅 IP 链式代理配置教程丨网络代理丨5 元/月的静态住宅 IP 推荐,2026-03-31T10:00:26Z,https://www.youtube.com/watch?v=WGsDiPjS6X4,https://i.ytimg.com/vi/WGsDiPjS6X4/maxresdefault.jpg,4516,40,4,PT1M
hqqIPUhFkPU,Pixel认证必看：Google AI Pro认证8大问题全解答，12个月会员轻松到手!,2026-03-24T11:45:13Z,https://www.youtube.com/watch?v=hqqIPUhFkPU,https://i.ytimg.com/vi/hqqIPUhFkPU/maxresdefault.jpg,1937,15,0,PT1M2S
WJEus2wEkjg,Pixel认证必看：Google AI Pro认证8大问题全解答，12个月会员轻松到手!,2026-03-24T11:40:10Z,https://www.youtube.com/watch?v=WJEus2wEkjg,https://i.ytimg.com/vi/WJEus2wEkjg/maxresdefault.jpg,791,15,3,PT6M35S
dwtMKjZWLdI,🎁Gemini教程｜Pixel活动免费领取 Google AI Pro 12个月｜无需 Pixel 设备,2026-03-18T11:59:29Z,https://www.youtube.com/watch?v=dwtMKjZWLdI,https://i.ytimg.com/vi/dwtMKjZWLdI/maxresdefault.jpg,5665,23,1,PT1M
pvUWypGBYIU,🎁Gemini教程｜Pixel活动免费领取 Google AI Pro 12个月｜无需 Pixel 设备,2026-03-18T11:31:53Z,https://www.youtube.com/watch?v=pvUWypGBYIU,https://i.ytimg.com/vi/pvUWypGBYIU/maxresdefault.jpg,5833,77,55,PT9M2S
qgiJ9mNduhI,🐱免费平替小火箭！Clash Mi 详细教程 | 一款软件全设备代理，智能分流设置全解析丨科学上网丨平替Shadowrocket,2026-03-09T10:01:18Z,https://www.youtube.com/watch?v=qgiJ9mNduhI,https://i.ytimg.com/vi/qgiJ9mNduhI/maxresdefault.jpg,7982,86,43,PT6M42S
aSRCPPpkhNk,免费平替小火箭！Clash Mi 详细教程 | 一款软件全设备代理，智能分流设置全解析丨科学上网丨平替Shadowrocket,2026-03-09T10:00:04Z,https://www.youtube.com/watch?v=aSRCPPpkhNk,https://i.ytimg.com/vi/aSRCPPpkhNk/maxresdefault.jpg,8067,82,2,PT1M
hfs8rLaapc4,👉每月不到5元！这可能是全网最便宜的静态住宅IP，手把手教你购买+测试！丨静态住宅IP丨代理推荐丨省钱攻略,2026-03-04T10:00:57Z,https://www.youtube.com/watch?v=hfs8rLaapc4,https://i.ytimg.com/vi/hfs8rLaapc4/maxresdefault.jpg,39338,391,50,PT1M
OT8NW25CQSU,👉每月不到5元！这可能是全网最便宜的静态住宅IP，手把手教你购买+测试！丨静态住宅IP丨代理推荐丨省钱攻略,2026-03-04T10:00:37Z,https://www.youtube.com/watch?v=OT8NW25CQSU,https://i.ytimg.com/vi/OT8NW25CQSU/maxresdefault.jpg,20502,395,159,PT5M42S
YbGr_9poheM,🦞OpenClaw保姆级安装教程：Windows用户必看，本地AI助手零门槛上手,2026-02-13T10:01:00Z,https://www.youtube.com/watch?v=YbGr_9poheM,https://i.ytimg.com/vi/YbGr_9poheM/maxresdefault.jpg,2074,77,32,PT10M4S
RV-8JEobBsA,🦞OpenClaw保姆级安装教程：Windows用户必看，本地AI助手零门槛上手,2026-02-13T10:00:44Z,https://www.youtube.com/watch?v=RV-8JEobBsA,https://i.ytimg.com/vi/RV-8JEobBsA/maxresdefault.jpg,14348,101,1,PT1M
cGUuvMKq8t4,🚀（小火箭）Shadowrocket保姆级教程：免费下载+「懒人配置」让节点自动切换丨免费节点丨小火箭分流规则,2026-01-29T10:01:00Z,https://www.youtube.com/watch?v=cGUuvMKq8t4,https://i.ytimg.com/vi/cGUuvMKq8t4/maxresdefault.jpg,15758,118,1,PT59S
-gTR97Wu1i8,免费小火箭下载防坑指南：一键配置全自动分流规则,2026-01-29T10:00:00Z,https://www.youtube.com/watch?v=-gTR97Wu1i8,https://i.ytimg.com/vi/-gTR97Wu1i8/maxresdefault.jpg,22244,301,51,PT8M39S
w443gdfFUaE,👉Gemini 学生认证免费，即将截止！最后窗口期 + 3 个稳定替代方案！,2026-01-23T10:15:07Z,https://www.youtube.com/watch?v=w443gdfFUaE,https://i.ytimg.com/vi/w443gdfFUaE/maxresdefault.jpg,2280,6,1,PT1M
7OEdGAbGlSM,👉Gemini 学生认证免费，即将截止！最后窗口期 + 3 个稳定替代方案！,2026-01-23T10:00:21Z,https://www.youtube.com/watch?v=7OEdGAbGlSM,https://i.ytimg.com/vi/7OEdGAbGlSM/maxresdefault.jpg,562,6,4,PT6M22S
-IkmCbxfqb0,2025040  S01 重磅！Bitget 接入 MT5，交易版图大扩张！丨Bitget注册丨Bitge MT5丨Bitget TradFI,2026-01-19T12:43:59Z,https://www.youtube.com/watch?v=-IkmCbxfqb0,https://i.ytimg.com/vi/-IkmCbxfqb0/maxresdefault.jpg,384,4,1,PT1M
PzA7r7YQhNY,2026丨重磅！Bitget 接入 MT5，交易版图大扩张！丨Bitget注册丨Bitge MT5丨Bitget TradFI,2026-01-19T12:39:25Z,https://www.youtube.com/watch?v=PzA7r7YQhNY,https://i.ytimg.com/vi/PzA7r7YQhNY/maxresdefault.jpg,369,9,1,PT2M45S
nsax458en8U,🥸白嫖成功！Gemini 3 Pro学生认证，免费使用一年！丨订阅全流程教程！丨避坑指南！,2026-01-13T11:11:44Z,https://www.youtube.com/watch?v=nsax458en8U,https://i.ytimg.com/vi/nsax458en8U/maxresdefault.jpg,4208,43,36,PT7M8S
J9LmfwUEqOA,🥸白嫖成功！Gemini 3 Pro学生认证，免费使用一年！丨订阅全流程教程！丨避坑指南！,2026-01-13T11:01:43Z,https://www.youtube.com/watch?v=J9LmfwUEqOA,https://i.ytimg.com/vi/J9LmfwUEqOA/maxresdefault.jpg,19853,87,6,PT59S
DePu362mqhc,中国香港/英美加手机号保号？Kitesim eSIM平台详细介绍,2026-01-11T11:31:53Z,https://www.youtube.com/watch?v=DePu362mqhc,https://i.ytimg.com/vi/DePu362mqhc/maxresdefault.jpg,2047,14,0,PT1M
RVzT-50xJVs,中国香港/英美加手机号保号？Kitesim eSIM平台详细介绍,2026-01-11T11:21:17Z,https://www.youtube.com/watch?v=RVzT-50xJVs,https://i.ytimg.com/vi/RVzT-50xJVs/maxresdefault.jpg,422,5,4,PT3M9S
GsdWcvxRH7E,🤑免费领一年 ChatGPT Plus！大兵认证保姆级教程！｜省 240 刀 + 解锁 Sora/Codex丨GPT Plus军人认证（电报）,2026-01-08T15:43:25Z,https://www.youtube.com/watch?v=GsdWcvxRH7E,https://i.ytimg.com/vi/GsdWcvxRH7E/maxresdefault.jpg,13554,72,0,PT1M
s7ZO6UXW3ks,🤑免费领一年 ChatGPT Plus！大兵认证保姆级教程！｜省 240 刀 + 解锁 Sora/Codex丨GPT Plus军人认证（电报）,2026-01-08T15:42:58Z,https://www.youtube.com/watch?v=s7ZO6UXW3ks,https://i.ytimg.com/vi/s7ZO6UXW3ks/maxresdefault.jpg,5701,50,28,PT4M38S
RkmsYxiL--M,【限时福利！】免费领取一年ChatGPT Go（印度）完整版教程！,2026-01-06T10:00:44Z,https://www.youtube.com/watch?v=RkmsYxiL--M,https://i.ytimg.com/vi/RkmsYxiL--M/maxresdefault.jpg,456,5,0,PT1M
1XmRY6oqEjQ,【限时福利！】免费领取一年ChatGPT Go（印度）完整版教程！,2026-01-06T10:00:03Z,https://www.youtube.com/watch?v=1XmRY6oqEjQ,https://i.ytimg.com/vi/1XmRY6oqEjQ/maxresdefault.jpg,899,9,8,PT3M35S
V7AN_wtpaDQ,2026丨（0基础）小白VPS节点搭建教程，有手就行！丨VPS搭建v2rayn丨VPS推荐,2026-01-05T04:17:14Z,https://www.youtube.com/watch?v=V7AN_wtpaDQ,https://i.ytimg.com/vi/V7AN_wtpaDQ/maxresdefault.jpg,21001,496,166,PT3M57S
WJSz_t9nIHo,2026丨（0基础）小白VPS节点搭建教程，有手就行！丨VPS搭建v2rayn丨VPS推荐,2026-01-05T04:14:49Z,https://www.youtube.com/watch?v=WJSz_t9nIHo,https://i.ytimg.com/vi/WJSz_t9nIHo/maxresdefault.jpg,106775,1388,74,PT1M
J5CH5o858yg,2026丨WISE注册新手完整教程、攻略！丨wise开户丨跨境转账,2026-01-02T03:45:47Z,https://www.youtube.com/watch?v=J5CH5o858yg,https://i.ytimg.com/vi/J5CH5o858yg/maxresdefault.jpg,2593,28,13,PT6M11S
LeAE1aT7Kxo,Wise 是什么？跨境汇款底层逻辑 + 完整注册流程｜比银行省 50% 手续费,2025-12-31T11:14:52Z,https://www.youtube.com/watch?v=LeAE1aT7Kxo,https://i.ytimg.com/vi/LeAE1aT7Kxo/maxresdefault.jpg,8232,45,1,PT1M
qDjop5QCdiA,（X）推特账号被冻结，是否能注册新账号？推特登录报错解决方法（手机 App 版）！,2025-12-29T10:01:36Z,https://www.youtube.com/watch?v=qDjop5QCdiA,https://i.ytimg.com/vi/qDjop5QCdiA/maxresdefault.jpg,31415,200,0,PT59S
I_88VWZ0tds,（X）推特账号被冻结，是否能注册新账号？推特登录报错解决方法（手机 App 版）！,2025-12-29T09:43:48Z,https://www.youtube.com/watch?v=I_88VWZ0tds,https://i.ytimg.com/vi/I_88VWZ0tds/maxresdefault.jpg,7887,46,56,PT2M48S
r2aA9fkJ1ng,如何在大陆手机上开启eSIM？Xesim 让你轻松秒变 eSIM 设备 | eSIM 教学与推荐 #esim #国际漫游 #跨境,2025-12-28T09:58:00Z,https://www.youtube.com/watch?v=r2aA9fkJ1ng,https://i.ytimg.com/vi/r2aA9fkJ1ng/maxresdefault.jpg,612,1,1,PT36S
CmOz7Bw7DR0,🍏史上最快的苹果美区账号注册方法丨US Apple ID丨苹果id美区,2025-12-26T06:02:35Z,https://www.youtube.com/watch?v=CmOz7Bw7DR0,https://i.ytimg.com/vi/CmOz7Bw7DR0/maxresdefault.jpg,11049,48,1,PT19S
0j5hKIxv4X0,🍏史上最快的苹果美区账号注册方法丨US Apple ID丨苹果id美区,2025-12-25T12:53:28Z,https://www.youtube.com/watch?v=0j5hKIxv4X0,https://i.ytimg.com/vi/0j5hKIxv4X0/maxresdefault.jpg,755,10,6,PT1M56S
QMESt_TCdi0,短视频片尾,2025-12-25T06:15:24Z,https://www.youtube.com/watch?v=QMESt_TCdi0,https://i.ytimg.com/vi/QMESt_TCdi0/maxresdefault.jpg,2,0,0,PT7S
lry28RMfR9A,2025 谷歌邮箱注册教程｜+86 手机号亲测成功！解决扫码无反应 / 验证码发送失败丨Gmail注册丨+86手机号注册,2025-12-24T17:21:31Z,https://www.youtube.com/watch?v=lry28RMfR9A,https://i.ytimg.com/vi/lry28RMfR9A/maxresdefault.jpg,2665,10,0,PT35S
-spjGRq82wo,2025 谷歌邮箱注册教程｜+86 手机号亲测成功！解决扫码无反应 / 验证码发送失败丨Gmail注册丨+86手机号注册,2025-12-24T16:56:59Z,https://www.youtube.com/watch?v=-spjGRq82wo,https://i.ytimg.com/vi/-spjGRq82wo/maxresdefault.jpg,1838,25,11,PT3M36S
0zbSkhmUEA0,🔥白嫖 ChatGPT Plus 会员！GPT 5.2、Codex 免费用！丨免费获取 ChatGPT Plus,2025-12-23T10:00:04Z,https://www.youtube.com/watch?v=0zbSkhmUEA0,https://i.ytimg.com/vi/0zbSkhmUEA0/maxresdefault.jpg,1333,4,1,PT28S
loxD5hKNLXk,🔥白嫖 ChatGPT Plus 会员！GPT 5.2、Codex 免费用！丨免费获取 ChatGPT Plus,2025-12-22T00:00:52Z,https://www.youtube.com/watch?v=loxD5hKNLXk,https://i.ytimg.com/vi/loxD5hKNLXk/maxresdefault.jpg,3409,20,20,PT4M42S
MCzoGw3lXko,🔥白嫖 ChatGPT Plus 会员！GPT 5.2、Codex 免费用！丨免费获取 ChatGPT Plus,2025-12-22T00:00:36Z,https://www.youtube.com/watch?v=MCzoGw3lXko,https://i.ytimg.com/vi/MCzoGw3lXko/maxresdefault.jpg,1834,7,0,PT59S
vtiL2x5e-mw,2025 Web3 新人必看！Bitget 注册教程（VPN 节点推荐+手续费减免）丨加密货币交易所丨Bitget交易所,2025-12-19T06:47:44Z,https://www.youtube.com/watch?v=vtiL2x5e-mw,https://i.ytimg.com/vi/vtiL2x5e-mw/maxresdefault.jpg,178,2,0,PT59S
g3AsbkTuV-Q,2025 Web3 新人必看！Bitget 注册教程（VPN 节点推荐+手续费减免）丨加密货币交易所丨Bitget交易所,2025-12-19T06:44:17Z,https://www.youtube.com/watch?v=g3AsbkTuV-Q,https://i.ytimg.com/vi/g3AsbkTuV-Q/maxresdefault.jpg,138,2,1,PT4M41S
jIZOYUm6q6c,Web3新人必看！Bybit Card境外U卡0门槛申请，大陆用户可办，10%返现每月最高150刀丨Web3入门丨Web3钱包丨Bybit Card丨Bybit卡,2025-12-18T08:50:58Z,https://www.youtube.com/watch?v=jIZOYUm6q6c,https://i.ytimg.com/vi/jIZOYUm6q6c/maxresdefault.jpg,131,2,0,PT59S
